LotArea,BsmtQual,TotalBsmtSF,2ndFlrSF,Yearinterval,TotRmsAbvGrd,GarageArea,SalePrice
7200,0,1041,0,33,6,352,125000
9382,1,1468,0,9,6,577,191000
12474,1,1682,590,1,9,846,426000
8405,0,861,406,108,7,384,119000
12209,1,804,1157,8,7,560,215000
8339,0,0,0,48,5,294,106500
7446,0,788,0,65,4,0,100000
10134,0,735,299,67,5,240,109000
9571,0,1144,0,54,6,596,129000
7200,0,894,0,37,6,600,123000
7590,0,864,936,45,8,264,169500
8967,0,961,0,87,6,338,67000
8125,1,1092,438,3,7,438,241000
14963,1,1260,0,12,4,500,245500
8767,1,1310,0,1,6,400,164990
10200,0,672,0,68,4,240,108000
12090,1,1141,1098,8,10,420,258000
10364,1,806,766,12,7,373,168000
9991,0,1281,0,33,8,490,150000
10480,0,1064,0,72,6,240,115000
15576,1,840,840,93,8,308,177000
14154,1,1063,1101,1,9,947,280000
10800,1,1034,1028,1,8,836,339750
9571,0,1276,0,51,5,350,60000
34650,0,1056,0,51,5,572,145000
4403,1,1470,0,1,7,484,222000
8960,0,1008,0,83,5,360,115000
11228,1,1080,1017,15,9,678,228000
8899,1,1340,0,0,6,396,181134
7844,0,672,728,28,6,440,149500
22420,1,1370,1254,89,10,864,239000
8160,0,756,378,67,7,240,126000
8450,0,1056,0,42,6,304,142000
7060,1,1344,0,11,8,784,206300
16635,1,1602,0,32,8,529,215000
21750,0,988,0,54,4,520,113000
9200,1,1470,1160,10,8,696,315000
9000,1,1196,0,52,6,297,139000
3378,0,651,682,63,6,240,135000
12800,1,1518,0,20,5,569,275000
8593,0,907,0,51,5,352,109008
6762,1,1208,0,0,6,628,195400
11457,1,1392,0,21,6,576,175000
1680,0,483,504,37,4,264,85400
5586,0,901,110,88,7,0,79900
1920,0,765,600,36,6,440,122500
10839,1,926,678,11,7,470,181000
1890,1,630,0,36,3,0,81000
10667,1,799,834,13,6,550,212000
4400,0,648,384,86,6,440,116000
6000,0,884,0,83,4,180,119000
4280,0,440,0,94,4,352,90350
12354,0,684,512,89,7,528,110000
15431,1,3094,0,1,10,672,555000
12108,0,1440,0,53,8,0,118000
6240,0,1078,445,78,8,360,162900
3922,1,1258,0,1,6,648,172500
8750,1,915,975,14,8,493,210000
9855,0,1436,0,53,7,480,127500
16492,0,1517,0,44,6,578,190000
11214,1,930,930,8,10,431,199900
8600,0,780,596,69,7,198,119500
6000,0,649,504,59,6,308,120000
5684,0,813,0,76,5,270,110000
70761,1,1533,0,31,5,576,280000
9303,1,872,868,11,7,422,204000
9000,1,768,804,1,6,676,210000
9297,0,1728,0,30,8,560,188000
9600,0,1242,0,34,6,528,175500
4571,0,624,720,92,7,513,98000
53227,1,1364,0,54,6,529,256000
5100,0,588,833,83,7,228,161000
7015,0,709,224,59,5,352,110000
8004,1,832,1103,0,8,552,263435
7200,1,560,560,73,6,576,155000
8281,0,864,0,44,5,360,62383
11988,0,715,811,74,6,240,188700
8430,1,1040,0,31,5,0,124000
3072,1,1375,0,2,6,398,178740
10628,0,1277,0,37,5,526,167000
9480,0,728,756,65,7,312,146500
11428,1,1626,0,1,7,866,250000
9291,1,832,878,15,7,506,187000
6820,1,1488,0,25,4,528,212000
11952,1,808,808,30,8,534,190000
3675,1,547,0,3,5,525,148000
14977,1,1976,0,1,7,908,440000
5330,1,1494,0,7,6,499,251000
8480,0,970,0,44,5,624,132500
13125,1,1478,0,11,7,508,208900
13693,1,2153,574,1,9,694,380000
10637,1,1705,0,2,7,826,297000
5925,0,907,0,70,7,672,89471
16033,1,1833,0,2,8,772,326000
11846,1,1792,0,3,6,874,374000
2500,0,910,910,94,7,164,155000
4500,1,1216,0,8,5,402,164000
7758,0,999,0,45,6,264,132500
9600,0,1113,0,59,5,264,147000
10289,0,1073,0,42,6,515,156000
12243,1,1484,0,36,7,487,175000
10800,0,954,648,106,10,520,160000
1526,1,630,0,39,3,286,86000
2665,1,264,688,32,4,336,115000
9490,0,806,620,65,5,240,133000
15578,1,728,728,0,8,429,172785
7931,0,1269,0,48,6,308,155000
5784,0,190,0,71,4,273,91300
7879,0,720,0,89,4,0,34900
12692,1,3200,0,15,10,546,430000
9120,0,1026,687,83,8,240,184000
7800,0,864,0,42,5,288,130000
7535,0,912,0,49,5,297,120000
1890,0,672,546,34,7,264,113000
9803,1,866,902,3,7,603,226700
9170,0,1214,0,42,6,461,140000
15602,0,1501,0,51,6,484,289000
2308,0,855,467,35,6,440,147000
7596,0,960,1000,57,10,400,124500
9554,1,777,846,13,8,471,215000
7862,1,1218,0,0,4,676,208300
9600,0,689,689,80,7,360,161000
9600,0,1041,0,50,6,270,124500
14559,0,1008,0,58,6,288,164900
6792,1,1368,0,1,6,474,202665
9100,0,864,0,48,5,624,129900
9187,0,1084,0,24,5,484,134000
10594,0,768,0,81,5,200,96500
12220,1,2006,0,0,9,900,402861
10448,0,689,741,37,7,583,158000
10208,1,1264,1067,13,7,889,265000
9531,1,794,914,9,7,546,211000
10918,1,1276,804,83,9,282,234000
10800,0,0,600,108,7,0,106250
11988,0,1244,0,50,6,336,150000
5000,0,1004,660,59,7,420,159000
40094,1,3138,1538,0,11,884,184750
11787,1,1379,1015,11,8,834,315750
7500,1,1257,0,1,6,453,176000
13300,1,928,0,51,4,252,132000
14948,1,1452,1237,0,11,858,446261
9098,0,528,0,87,5,0,86000
32668,0,2035,0,50,9,484,200624
10200,1,1461,0,20,5,600,175000
6155,0,611,611,88,6,502,128000
7200,0,0,0,55,5,392,107500
5000,0,0,0,61,2,0,39300
9056,1,707,707,2,6,403,178000
7000,1,1117,527,98,5,0,107500
8924,1,880,844,10,8,527,188000
12735,0,864,0,36,5,576,111250
11553,0,1051,0,38,7,336,158000
11423,1,1581,0,9,6,670,272000
14601,1,1838,0,3,8,765,315000
11000,1,969,1288,7,8,648,248000
10140,1,1650,0,11,7,583,213250
4058,1,723,0,9,4,367,133000
17104,1,654,832,0,7,426,179665
13837,1,1204,806,18,9,786,229000
8737,1,1065,720,84,6,440,210000
7244,1,768,0,37,5,624,129500
8235,0,825,0,53,4,720,125000
9375,1,912,1182,6,8,615,263000
4043,1,1069,0,31,4,440,140000
6000,0,928,0,51,5,288,112500
11146,1,1709,0,3,7,908,255500
8777,0,0,0,60,5,520,108000
10625,1,998,1040,5,8,871,284000
6380,0,993,0,84,5,280,113000
14850,0,1092,0,49,6,299,141000
11040,0,637,439,86,7,570,108000
21872,1,729,717,12,6,406,175000
3196,1,1374,0,3,7,420,234000
11341,1,1392,0,53,5,528,121500
10010,1,1389,0,32,6,418,170000
13907,0,996,0,68,6,0,108000
21780,1,1163,511,90,8,396,185000
13346,1,1095,1129,14,9,590,268000
6858,1,806,806,95,6,216,128000
11198,1,1122,1370,3,11,656,325000
10171,1,1517,0,6,7,532,214000
12327,1,1496,636,26,5,612,316600
7032,1,943,0,27,4,600,135960
13101,0,1728,0,43,10,576,142600
7332,0,864,0,47,4,288,120000
13159,1,846,846,0,6,650,224500
9967,1,384,656,7,8,400,170000
10500,0,372,533,36,5,288,139000
8480,0,832,384,61,6,336,118500
6292,0,861,600,81,6,216,145000
11777,0,1164,0,40,6,564,164500
3604,1,689,689,1,5,540,146000
12150,0,1050,745,54,7,352,131500
14585,0,1144,0,47,7,572,181900
12704,1,2042,0,1,8,1390,253293
11841,1,816,0,17,5,0,118500
13500,0,1237,1254,115,9,880,325000
6120,0,884,584,74,6,240,133000
11443,1,1868,0,1,7,880,369900
10267,0,816,0,90,5,275,130000
8740,0,840,0,27,4,528,137000
25095,0,1437,0,41,5,452,143000
9100,0,742,0,78,4,308,79500
8320,1,770,812,4,6,520,185900
13478,1,1722,568,1,10,842,451950
6600,0,816,0,26,4,816,138000
4435,1,848,0,6,4,420,140000
7990,1,924,0,33,5,280,110000
11302,1,1814,0,1,7,758,319000
3600,0,684,684,96,7,216,114504
3922,1,1258,0,1,7,648,194201
12984,1,1430,0,29,7,621,217500
1950,1,716,840,28,6,452,151000
10927,1,1058,846,1,8,736,275000
9000,0,780,595,70,6,544,141000
10041,1,908,988,14,8,506,220000
3182,1,600,600,6,4,480,151000
12803,1,1494,0,6,6,530,221000
13600,0,768,800,44,7,486,205000
12464,1,1040,0,13,6,576,152000
7800,0,896,896,58,8,230,225000
12168,1,965,1254,73,10,380,359100
7943,0,1029,0,46,5,261,118500
11050,1,1440,677,9,8,736,313000
10395,1,1032,0,29,6,564,148000
11885,1,1299,573,8,7,531,261500
8402,1,1120,0,0,6,0,147000
1491,1,630,0,38,3,0,75500
8800,0,936,0,47,6,480,137500
7861,1,783,702,4,7,393,183200
7227,0,832,0,54,4,528,105500
11694,1,1822,0,0,9,774,314813
12244,1,1482,780,5,10,749,305000
8248,0,864,0,94,5,0,67000
10800,0,1522,1066,34,9,624,240000
7064,0,980,0,32,6,484,135000
2117,1,756,756,7,4,440,168500
10400,0,732,778,34,8,484,165150
10000,0,1116,0,48,5,440,160000
12342,0,978,0,47,6,286,139900
9600,0,1156,0,55,7,364,153000
11606,1,1040,1040,38,9,504,135000
9020,0,1248,0,44,6,520,168500
9000,0,636,661,126,8,240,124000
4590,1,1554,0,1,6,627,209500
11900,0,1386,0,32,6,544,82500
9250,0,1056,0,53,6,260,139400
6979,0,1056,0,30,4,576,144000
10896,0,1440,1440,93,14,0,200000
6120,0,264,0,73,4,0,60000
6000,0,811,576,55,7,256,93000
8777,0,796,0,98,4,0,85000
3982,1,1520,0,0,7,648,264561
12677,1,1518,0,5,6,588,274000
7050,1,1057,872,6,7,650,226000
13860,1,1952,704,37,9,538,345000
10793,0,780,840,38,7,462,152000
9187,1,1766,0,0,7,478,370878
10530,0,981,0,36,5,576,143250
7200,0,0,0,58,7,420,98300
10452,0,1094,0,55,5,495,155000
7700,0,756,788,44,7,442,155000
1936,1,630,0,37,3,0,84500
8125,1,813,843,1,7,562,205950
9084,0,755,755,69,7,296,108000
8750,1,880,807,13,7,512,191000
10320,0,756,713,102,7,216,135000
10437,1,2109,0,13,7,839,350000
1680,0,525,567,39,6,264,88000
10007,0,1053,0,49,5,312,145500
7200,1,776,651,77,6,270,149000
17503,0,912,546,62,6,330,97500
9937,0,1486,0,45,7,480,167000
12384,1,793,793,31,7,550,197900
46589,1,1629,762,15,8,711,402000
13560,0,1392,0,41,5,576,110000
10012,1,1138,0,36,6,588,137500
20896,1,2077,0,1,8,1134,423000
11194,1,1406,482,6,7,504,230500
18450,1,1021,915,42,7,596,129000
8125,1,1408,0,14,7,575,193500
14175,0,1188,0,50,6,576,168000
11600,0,700,0,84,5,252,137500
8633,1,738,738,4,7,540,173500
6629,0,672,672,84,6,300,103600
11250,1,1208,0,29,6,546,165000
14442,0,1477,0,50,7,416,257500
9200,0,1136,0,43,5,384,140000
2289,0,855,586,31,7,440,148500
9600,0,1095,679,106,8,779,87000
9022,0,768,0,85,5,240,109500
11844,1,2046,0,1,7,834,372500
9945,0,988,0,46,5,572,128500
8012,1,923,0,30,5,264,143000
4500,0,793,672,77,6,281,159434
2887,1,1291,0,12,6,431,173000
11248,1,1626,0,5,7,702,285000
16770,1,1195,644,12,7,486,221000
5062,1,1190,900,23,6,577,207500
10207,1,874,887,0,7,578,227875
5105,1,551,551,3,4,480,148800
8089,1,1419,0,0,7,567,392000
7577,1,1362,0,2,6,460,194700
4426,1,848,0,4,3,420,141000
21535,1,2444,1872,13,10,832,755000
26178,1,1210,1281,17,9,628,335000
5400,0,1073,0,85,4,326,108480
6120,0,927,472,73,5,576,141500
13811,1,1112,0,19,5,551,176000
6000,0,616,0,85,4,205,89000
6420,1,980,0,54,6,308,123500
8450,0,894,0,45,5,336,138500
4282,1,1391,0,4,5,530,196000
14331,1,1800,0,4,7,765,312500
9600,0,1164,0,37,6,528,140000
12438,1,1234,1312,0,10,666,361919
7630,1,360,780,110,8,672,140000
8400,1,1473,0,6,7,606,213000
5600,0,0,720,80,7,0,55000
115149,1,1643,0,36,5,739,302000
6240,1,1324,0,3,6,550,254000
9018,1,728,728,0,8,400,179540
7162,0,876,0,42,6,408,109900
4130,0,270,0,73,5,0,52000
8712,0,859,319,110,7,384,102776
4671,1,1228,0,20,5,472,189000
9873,0,960,0,36,6,576,129000
13517,0,725,754,34,6,475,130500
10140,1,1064,0,35,7,478,165000
10800,0,718,978,117,8,704,159500
10000,1,1176,0,35,5,439,157000
10542,1,1311,1093,15,9,983,341000
9920,1,971,0,37,5,300,128500
6563,1,1742,0,21,5,564,275000
4426,1,848,0,6,3,420,143000
8120,0,864,0,39,5,463,124500
8172,0,941,473,54,7,548,135000
13286,1,1698,0,2,8,768,320000
6960,0,864,0,39,5,660,120500
21695,1,880,0,21,5,540,222000
7314,1,1232,0,2,6,632,194500
11475,0,1584,0,51,9,888,110000
6240,0,780,0,84,5,539,103000
5389,1,1595,0,15,5,608,236500
9590,1,868,0,4,6,438,187500
11404,1,1153,878,10,8,541,222500
10000,0,864,0,48,6,264,131400
8978,0,948,0,39,6,300,108000
10800,1,880,888,92,6,320,163000
8544,0,0,0,56,6,400,93500
10463,1,893,900,1,8,800,239900
10800,1,1200,0,22,5,0,179000
9313,1,864,864,5,7,572,190000
9600,0,264,664,97,7,360,132000
6768,0,912,0,47,5,288,142000
8450,1,1349,0,7,6,539,179000
12886,1,520,0,46,6,480,175000
5395,1,1337,0,15,5,462,180000
8963,0,1142,1540,32,11,831,299800
