RK,NAME,TEAM,SALARY
143,"Cory Joseph, PG",Indiana Pacers,"$7,630,000 "
144,"PJ Tucker, SF",Houston Rockets,"$7,590,035 "
145,"Corey Brewer, SF",Oklahoma City Thunder,"$7,579,366 "
146,"Andrew Wiggins, SF",Minnesota Timberwolves,"$7,574,323 "
147,"Boris Diaw, C",Utah Jazz,"$7,500,000 "
148,"Darrell Arthur, PF",Denver Nuggets,"$7,464,912 "
149,"Channing Frye, PF",Los Angeles Lakers,"$7,420,912 "
150,"Trevor Ariza, SF",Houston Rockets,"$7,420,912 "
151,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000 "
152,"Al-Farouq Aminu, PF",Portland Trail Blazers,"$7,319,035 "
153,"Cole Aldrich, C",Minnesota Timberwolves,"$7,300,000 "
154,"D.J. Augustin, PG",Orlando Magic,"$7,250,000 "
155,"Markelle Fultz, PG",Philadelphia 76ers,"$7,026,240 "
156,"Lou Williams, SG",LA Clippers,"$7,000,000 "
157,"Jeremy Lamb, SG",Charlotte Hornets,"$7,000,000 "
158,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000 "
159,"Kyle Korver, SG",Cleveland Cavaliers,"$7,000,000 "
160,"Jae Crowder, PF",Utah Jazz,"$6,796,117 "
161,"Jabari Parker, PF",Milwaukee Bucks,"$6,782,392 "
162,"Langston Galloway, SG",Detroit Pistons,"$6,666,667 "
163,"Lance Thomas, SF",New York Knicks,"$6,655,325 "
164,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000 "
165,"Tim Duncan, C",San Antonio Spurs,"$6,393,750 "
166,"Andrew Nicholson, PF",Portland Trail Blazers,"$6,362,998 "
167,"Ed Davis, PF",Portland Trail Blazers,"$6,352,531 "
168,"Jonathon Simmons, SF",Orlando Magic,"$6,300,000 "
169,"Lonzo Ball, PG",Los Angeles Lakers,"$6,286,560 "
170,"Wayne Ellington, SG",Miami Heat,"$6,270,000 "
171,"Isaiah Thomas, PG",Los Angeles Lakers,"$6,261,395 "
172,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$6,216,840 "
173,"Ben Simmons, PG",Philadelphia 76ers,"$6,168,840 "
174,"Joel Embiid, C",Philadelphia 76ers,"$6,100,266 "
175,"Spencer Hawes, PF",Milwaukee Bucks,"$6,061,175 "
176,"Josh McRoberts, PF",Dallas Mavericks,"$6,021,175 "
177,"Milos Teodosic, PG",LA Clippers,"$6,000,000 "
178,"Ersan Ilyasova, PF",Philadelphia 76ers,"$6,000,000 "
179,"Alan Williams, PF",Phoenix Suns,"$6,000,000 "
180,"Dewayne Dedmon, C",Atlanta Hawks,"$6,000,000 "
181,"Wesley Johnson, SF",LA Clippers,"$5,882,260 "
182,"Tyler Johnson, SG",Miami Heat,"$5,881,260 "
183,"Alex Abrines, SG",Oklahoma City Thunder,"$5,725,000 "
184,"Jayson Tatum, SF",Boston Celtics,"$5,645,400 "
185,"Jared Sullinger, C",Phoenix Suns,"$5,628,000 "
186,"D'Angelo Russell, PG",Brooklyn Nets,"$5,562,360 "
187,"Brandon Ingram, SF",Los Angeles Lakers,"$5,519,400 "
188,"Patrick Beverley, PG",LA Clippers,"$5,513,514 "
189,"Aaron Gordon, PF",Orlando Magic,"$5,504,420 "
190,"Thabo Sefolosha, SF",Utah Jazz,"$5,500,000 "
191,"Luis Scola, PF",Brooklyn Nets,"$5,500,000 "
192,"Jason Smith, PF",Washington Wizards,"$5,225,000 "
193,"Ben McLemore, SG",Memphis Grizzlies,"$5,200,000 "
194,"Patrick Patterson, PF",Oklahoma City Thunder,"$5,192,000 "
195,"Nick Young, SG",Golden State Warriors,"$5,192,000 "
196,"Josh Jackson, SG",Phoenix Suns,"$5,090,040 "
197,"C.J. Watson, PG",Orlando Magic,"$5,000,000 "
198,"Greg Monroe, C",Phoenix Suns,"$5,000,000 "
199,"Dirk Nowitzki, C",Dallas Mavericks,"$5,000,000 "
200,"Mike Muscala, PF",Atlanta Hawks,"$5,000,000 "
201,"Jahlil Okafor, C",Philadelphia 76ers,"$4,995,120 "
202,"Dante Exum, PG",Utah Jazz,"$4,992,385 "
203,"Alexis Ajinca, C",New Orleans Pelicans,"$4,961,798 "
204,"Jaylen Brown, SG",Boston Celtics,"$4,956,480 "
205,"Mike Dunleavy, SG",Atlanta Hawks,"$4,837,500 "
206,"Kyle Singler, SF",Oklahoma City Thunder,"$4,666,500 "
207,"Justin Holiday, SG",Chicago Bulls,"$4,615,385 "
208,"De'Aaron Fox, PG",Sacramento Kings,"$4,609,200 "
209,"Marcus Smart, PG",Boston Celtics,"$4,538,020 "
210,"Kristaps Porzingis, PF",New York Knicks,"$4,503,600 "
211,"Dragan Bender, PF",Phoenix Suns,"$4,468,800 "
212,"Devin Harris, PG",Denver Nuggets,"$4,402,546 "
213,"Greivis Vasquez, PG",Brooklyn Nets,"$4,347,826 "
214,"Ron Baker, SG",New York Knicks,"$4,328,000 "
215,"Aron Baynes, C",Boston Celtics,"$4,328,000 "
216,"Alex Len, C",Phoenix Suns,"$4,187,599 "
217,"Nerlens Noel, C",Dallas Mavericks,"$4,187,599 "
218,"Jonathan Isaac, PF",Orlando Magic,"$4,186,320 "
219,"Lance Stephenson, SG",Indiana Pacers,"$4,180,000 "
220,"Julius Randle, PF",Los Angeles Lakers,"$4,149,242 "
221,"Kyle O'Quinn, C",New York Knicks,"$4,087,500 "
222,"Kris Dunn, PG",Chicago Bulls,"$4,046,760 "
223,"Leandro Barbosa, SG",Phoenix Suns,"$4,000,000 "
224,"Jonas Jerebko, PF",Utah Jazz,"$4,000,000 "
225,"Jordan Hill, C",Minnesota Timberwolves,"$4,000,000 "
226,"Nemanja Bjelica, PF",Minnesota Timberwolves,"$3,949,999 "
227,"Mario Hezonja, SF",Orlando Magic,"$3,909,840 "
228,"J.J. Barea, PG",Dallas Mavericks,"$3,903,900 "
229,"Quincy Pondexter, SG",Chicago Bulls,"$3,853,931 "
230,"Lauri Markkanen, PF",Chicago Bulls,"$3,821,640 "
231,"Nik Stauskas, SG",Philadelphia 76ers,"$3,807,147 "
232,"Willie Cauley-Stein, C",Sacramento Kings,"$3,704,160 "
233,"Buddy Hield, SG",Sacramento Kings,"$3,675,480 "
234,"Drew Gooden, PF",Washington Wizards,"$3,547,000 "
235,"Will Barton, SF",Denver Nuggets,"$3,533,333 "
236,"Paul Pierce, SF",LA Clippers,"$3,527,920 "
237,"Noah Vonleh, PF",Portland Trail Blazers,"$3,505,233 "
238,"Frank Ntilikina, PG",New York Knicks,"$3,501,120 "
239,"Mike Miller, SG",Denver Nuggets,"$3,500,000 "
240,"Nene Hilario, C",Houston Rockets,"$3,477,600 "
241,"Zaza Pachulia, C",Golden State Warriors,"$3,477,600 "
242,"Troy Daniels, SG",Phoenix Suns,"$3,408,520 "
243,"Emmanuel Mudiay, PG",New York Knicks,"$3,381,480 "
244,"Jamal Murray, PG",Denver Nuggets,"$3,355,320 "
245,"Elfrid Payton, PG",Phoenix Suns,"$3,332,340 "
246,"Rajon Rondo, PG",New Orleans Pelicans,"$3,300,000 "
247,"Doug McDermott, SF",New York Knicks,"$3,294,994 "
248,"Tyreke Evans, SG",Memphis Grizzlies,"$3,290,000 "
249,"Tarik Black, PF",Houston Rockets,"$3,290,000 "
250,"Anthony Tolliver, PF",Detroit Pistons,"$3,290,000 "
251,"Dennis Smith Jr., PG",Dallas Mavericks,"$3,218,280 "
252,"Zach LaVine, PG",Chicago Bulls,"$3,202,218 "
253,"Ekpe Udoh, C",Utah Jazz,"$3,200,000 "
254,"TJ Warren, SF",Phoenix Suns,"$3,152,931 "
255,"Stanley Johnson, SF",Detroit Pistons,"$3,097,800 "
256,"Marquese Chriss, PF",Phoenix Suns,"$3,073,800 "
257,"Zach Collins, C",Portland Trail Blazers,"$3,057,240 "
258,"James Ennis III, SF",Memphis Grizzlies,"$3,028,410 "
259,"Seth Curry, SG",Dallas Mavericks,"$3,028,410 "
260,"Mindaugas Kuzminskas, F",New York Knicks,"$3,025,035 "
261,"Tomas Satoransky, SG",Washington Wizards,"$3,000,000 "
262,"Justin Hamilton, C",Toronto Raptors,"$3,000,000 "
263,"Tibor Pleiss, C",Philadelphia 76ers,"$3,000,000 "
264,"Lucas Nogueira, C",Toronto Raptors,"$2,947,305 "
265,"Jusuf Nurkic, C",Portland Trail Blazers,"$2,947,305 "
266,"Malik Monk, SG",Charlotte Hornets,"$2,904,480 "
267,"Frank Kaminsky, PF",Charlotte Hornets,"$2,847,600 "
268,"Jakob Poeltl, C",Toronto Raptors,"$2,825,640 "
269,"Luke Kennard, SG",Detroit Pistons,"$2,759,280 "
270,"Justise Winslow, SF",Miami Heat,"$2,705,040 "
271,"Michael Carter-Williams, PG",Charlotte Hornets,"$2,700,000 "
272,"Thon Maker, C",Milwaukee Bucks,"$2,684,160 "
273,"Cedi Osman, SF",Cleveland Cavaliers,"$2,642,857 "
274,"Donovan Mitchell, SG",Utah Jazz,"$2,621,280 "
275,"Myles Turner, C",Indiana Pacers,"$2,569,920 "
276,"Gary Harris, SG",Denver Nuggets,"$2,550,055 "
277,"Domantas Sabonis, C",Indiana Pacers,"$2,550,000 "
278,"Reggie Bullock, SG",Detroit Pistons,"$2,500,000 "
279,"Manu Ginobili, SG",San Antonio Spurs,"$2,500,000 "
280,"Malcolm Delaney, PG",Atlanta Hawks,"$2,500,000 "
281,"Bam Adebayo, C",Miami Heat,"$2,490,360 "
282,"Bruno Caboclo, SF",Toronto Raptors,"$2,451,225 "
283,"Trey Lyles, PF",Denver Nuggets,"$2,441,400 "
284,"Dario Saric, PF",Philadelphia 76ers,"$2,422,560 "
285,"Taurean Prince, SF",Atlanta Hawks,"$2,422,560 "
286,"Rodney Hood, SG",Utah Jazz,"$2,386,864 "
287,"Justin Jackson, SF",Sacramento Kings,"$2,365,560 "
288,"Shabazz Napier, PG",Portland Trail Blazers,"$2,361,360 "
289,"Clint Capela, C",Houston Rockets,"$2,334,528 "
290,"Devin Booker, SG",Phoenix Suns,"$2,319,360 "
291,"Dante Cunningham, SF",Brooklyn Nets,"$2,300,000 "
292,"Justin Patton, C",Minnesota Timberwolves,"$2,247,480 "
293,"Guerschon Yabusele, PF",Boston Celtics,"$2,247,480 "
294,"Cameron Payne, PG",Chicago Bulls,"$2,203,440 "
295,"Mo Williams, PG",Denver Nuggets,"$2,194,500 "
296,"Denzel Valentine, SF",Chicago Bulls,"$2,186,400 "
297,"Sean Kilpatrick, SG",Brooklyn Nets,"$2,163,006 "
298,"Kyle Anderson, SF",San Antonio Spurs,"$2,151,704 "
299,"D.J. Wilson, PF",Milwaukee Bucks,"$2,135,040 "
300,"Darius Miller, SF",New Orleans Pelicans,"$2,100,000 "
301,"Kelly Oubre Jr., SF",Washington Wizards,"$2,093,040 "
302,"Juan Hernangomez, PF",Denver Nuggets,"$2,076,840 "
303,"Kendall Marshall, PG",Milwaukee Bucks,"$2,048,257 "
304,"T.J. Leaf, PF",Indiana Pacers,"$2,028,360 "
305,"Tim Frazier, PG",Washington Wizards,"$2,000,000 "
306,"Terry Rozier, PG",Boston Celtics,"$1,988,520 "
307,"Kevin Seraphin, C",Indiana Pacers,"$1,974,159 "
308,"John Collins, PF",Atlanta Hawks,"$1,936,920 "
309,"Rashad Vaughn, G",Orlando Magic,"$1,889,040 "
310,"Harry Giles, PF",Sacramento Kings,"$1,859,400 "
311,"Sam Dekker, SF",LA Clippers,"$1,794,600 "
312,"Terrance Ferguson, SG",Oklahoma City Thunder,"$1,785,000 "
313,"Henry Ellenson, PF",Detroit Pistons,"$1,780,800 "
314,"Eric Moreland, PF",Detroit Pistons,"$1,739,333 "
315,"Jerian Grant, PG",Chicago Bulls,"$1,713,840 "
316,"Jarrett Allen, C",Brooklyn Nets,"$1,713,720 "
317,"Quincy Acy, SF",Brooklyn Nets,"$1,709,538 "
318,"Tyler Zeller, C",Brooklyn Nets,"$1,709,538 "
319,"Malik Beasley, SG",Denver Nuggets,"$1,700,640 "
320,"Delon Wright, PG",Toronto Raptors,"$1,645,200 "
321,"OG Anunoby, SF",Toronto Raptors,"$1,645,200 "
322,"Ante Zizic, PF",Cleveland Cavaliers,"$1,645,200 "
323,"Caris LeVert, SG",Brooklyn Nets,"$1,632,480 "
324,"Justin Anderson, SG",Philadelphia 76ers,"$1,579,440 "
325,"Tyler Lydon, PF",Denver Nuggets,"$1,579,440 "
326,"Ryan Kelly, PF",Atlanta Hawks,"$1,577,230 "
327,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$1,577,230 "
328,"Archie Goodwin, SG",Portland Trail Blazers,"$1,577,230 "
329,"Jeff Withey, C",Dallas Mavericks,"$1,577,230 "
330,"DeAndre' Bembry, SF",Atlanta Hawks,"$1,567,200 "
331,"Caron Butler, SF",Sacramento Kings,"$1,551,659 "
332,"Mitch McGary, PF",Oklahoma City Thunder,"$1,526,040 "
333,"Joffrey Lauvergne, C",San Antonio Spurs,"$1,524,305 "
334,"Julyan Stone, PG",Charlotte Hornets,"$1,524,305 "
335,"Jerami Grant, SF",Oklahoma City Thunder,"$1,524,305 "
336,"Joe Harris, SF",Brooklyn Nets,"$1,524,305 "
337,"Glenn Robinson III, SG",Indiana Pacers,"$1,524,305 "
338,"Bobby Portis, PF",Chicago Bulls,"$1,516,320 "
339,"Malachi Richardson, SG",Toronto Raptors,"$1,504,560 "
340,"Marcelo Huertas, PG",Houston Rockets,"$1,500,000 "
341,"Chris McCullough, PF",Washington Wizards,"$1,471,382 "
342,"Donald Sloan, PG",Washington Wizards,"$1,471,382 "
343,"Jarell Martin, PF",Memphis Grizzlies,"$1,471,382 "
344,"Mario Chalmers, PG",Memphis Grizzlies,"$1,471,382 "
345,"Raul Neto, PG",Utah Jazz,"$1,471,382 "
346,"Anthony Morrow, SG",Portland Trail Blazers,"$1,471,382 "
347,"Pat Connaughton, SG",Portland Trail Blazers,"$1,471,382 "
348,"Nikola Jokic, C",Denver Nuggets,"$1,471,382 "
349,"Jeremy Evans, F",Atlanta Hawks,"$1,471,382 "
350,"Caleb Swanigan, PF",Portland Trail Blazers,"$1,465,920 "
351,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,465,920 "
352,"Jordan Adams, SG",Memphis Grizzlies,"$1,465,080 "
353,"Richard Jefferson, SF",Denver Nuggets,"$1,454,756 "
354,"Willy Hernangomez, C",Charlotte Hornets,"$1,435,750 "
355,"Jameer Nelson, PG",Detroit Pistons,"$1,429,818 "
356,"Kyle Kuzma, PF",Los Angeles Lakers,"$1,423,560 "
357,"Tony Bradley, C",Utah Jazz,"$1,414,920 "
358,"Derrick White, PG",San Antonio Spurs,"$1,404,600 "
359,"Josh Hart, SG",Los Angeles Lakers,"$1,394,520 "
360,"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,"$1,386,600 "
361,"Josh Smith, PF",New Orleans Pelicans,"$1,379,940 "
362,"Guillermo Hernangomez, C",New York Knicks,"$1,350,000 "
363,"Sasha Kaun, C",Philadelphia 76ers,"$1,333,240 "
364,"Brice Johnson, PF",Memphis Grizzlies,"$1,331,160 "
365,"Daniel Ochefu, PF",Washington Wizards,"$1,312,611 "
366,"Deyonta Davis, C",Memphis Grizzlies,"$1,312,611 "
367,"Wayne Selden, SG",Memphis Grizzlies,"$1,312,611 "
368,"Andrew Harrison, SG",Memphis Grizzlies,"$1,312,611 "
369,"Bryn Forbes, SG",San Antonio Spurs,"$1,312,611 "
370,"Treveon Graham, SG",Charlotte Hornets,"$1,312,611 "
371,"Stephen Zimmerman, C",Los Angeles Lakers,"$1,312,611 "
372,"Skal Labissiere, PF",Sacramento Kings,"$1,312,611 "
373,"Nicolas Brussino, SF",Atlanta Hawks,"$1,312,611 "
374,"Sheldon Mac, SG",Atlanta Hawks,"$1,312,611 "
375,"Isaiah Taylor, PG",Atlanta Hawks,"$1,312,611 "
376,"Semi Ojeleye, PF",Boston Celtics,"$1,291,892 "
377,"Livio Jean-Charles, SF",San Antonio Spurs,"$1,188,840 "
378,"Frank Mason III, PG",Sacramento Kings,"$1,184,385 "
379,"Abdel Nader, SF",Boston Celtics,"$1,167,333 "
380,"Damyean Dotson, SG",New York Knicks,"$1,100,000 "
381,"Tony Wroten, SG",Memphis Grizzlies,"$1,050,961 "
382,"Chris Johnson, SG",Houston Rockets,"$1,050,961 "
383,"John Jenkins, SG",Atlanta Hawks,"$1,050,961 "
384,"Wesley Iwundu, SF",Orlando Magic,"$1,050,000 "
385,"Anthony Bennett, PF",Phoenix Suns,"$1,015,696 "
386,"Andrew Goudelock, PG",Houston Rockets,"$1,015,696 "
387,"Isaiah Canaan, PG",Phoenix Suns,"$997,547 "
388,"Arinze Onuaku, PF",Orlando Magic,"$980,431 "
389,"Devyn Marble, SF",LA Clippers,"$980,431 "
390,"Elton Brand, PF",Philadelphia 76ers,"$980,431 "
391,"Chris Wright, SF",Oklahoma City Thunder,"$980,431 "
392,"Lou Amundson, PF",New York Knicks,"$980,431 "
393,"Greg Stiemsma, C",Portland Trail Blazers,"$980,431 "
394,"Henry Sims, C",Utah Jazz,"$980,431 "
395,"Jordan Farmar, PG",Sacramento Kings,"$980,431 "
396,"Jarnell Stokes, PF",Denver Nuggets,"$980,431 "
397,"Will Bynum, PG",Atlanta Hawks,"$980,431 "
398,"Ivan Rabb, PF",Memphis Grizzlies,"$950,000 "
399,"Rade Zagorac, SF",Memphis Grizzlies,"$950,000 "
400,"Ike Anigbogu, C",Indiana Pacers,"$950,000 "
401,"Reggie Williams, SF",New Orleans Pelicans,"$895,197 "
402,"D.J. Stephens, SG",Memphis Grizzlies,"$874,636 "
403,"D.J. Kennedy, SG",Memphis Grizzlies,"$874,636 "
404,"Branden Dawson, SF",Orlando Magic,"$874,636 "
405,"Casper Ware, PG",Melbourne United,"$874,636 "
406,"J.J. O'Brien, SF",Milwaukee Bucks,"$874,636 "
407,"Grant Jerrett, PF",Portland Trail Blazers,"$874,636 "
408,"Christian Wood, PF",Charlotte Hornets,"$874,636 "
409,"Duje Dukan, PF",Sacramento Kings,"$874,636 "
410,"Cliff Alexander, PF",New Orleans Pelicans,"$874,636 "
411,"Gerald Green, SG",Houston Rockets,"$872,854 "
